Electrical,Symbol,#
5.00E-24,S,16
1.00E-17,P,15
8.00E-16,I,53
1.00E-12,Se,34
1.00E-12,B,5
2.52E-12,Si,14
1.45E-08,Ge,32
2.00E-06,Te,52
0.00061,C,6
0.00666,Pu,94
0.00695,Mn,25
0.00736,Gd,64
0.00822,Np,93
0.00867,Bi,83
0.00889,Tb,65
0.00956,Sm,62
0.0104,Hg,80
0.0108,Dy,66
0.0112,Eu,63
0.0115,Ce,58
0.0117,Er,68
0.0124,Ho,67
0.0126,La,57
0.0148,Pr,59
0.015,Tm,69
0.0157,Nd,60
0.0166,Y,39
0.0177,Sc,21
0.0185,Lu,71
0.0219,Po,84
0.022,Am,95
0.0234,Ti,22
0.0236,Zr,40
0.0288,Sb,51
0.03,Fr,87
0.03,Ba,56
0.0312,Hf,72
0.0345,As,33
0.0351,Yb,70
0.038,U,92
0.0481,Pb,82
0.0489,V,23
0.0489,Cs,55
0.0529,Pa,91
0.0542,Re,75
0.0617,Tl,81
0.0653,Th,90
0.067,Tc,43
0.0678,Ga,31
0.0693,Nb,41
0.0761,Ta,73
0.0762,Sr,38
0.0774,Cr,24
0.0779,Rb,37
0.0917,Sn,50
0.095,Pd,46
0.0966,Pt,78
0.0993,Fe,26
0.108,Li,3
0.109,Os,76
0.116,In,49
0.137,Ru,44
0.138,Cd,48
0.139,K,19
0.143,Ni,28
0.166,Zn,30
0.172,Co,27
0.187,Mo,42
0.189,W,74
0.197,Ir,77
0.21,Na,11
0.211,Rh,45
0.226,Mg,12
0.298,Ca,20
0.313,Be,4
0.377,Al,13
0.452,Au,79
0.596,Cu,29
0.63,Ag,47
