Thermal, Symbol, #
0.0000364,Rn,86
0.0000569,Xe,54
0.000089,Cl,17
0.0000949,Kr,36
0.0001772,Ar,18
0.0002598,N,7
0.0002674,O,8
0.000279,F,9
0.000493,Ne,10
0.00122,Br,35
0.00152,He,2
0.001815,H,1
0.00235,P,15
0.00269,S,16
0.00449,I,53
0.017,At,85
0.0204,Se,34
0.0235,Te,52
0.063,Np,93
0.0674,Pu,94
0.0782,Mn,25
0.0787,Bi,83
0.0834,Hg,80
0.1,Am,95
0.1,Cf,98
0.1,No,102
0.1,Cm,96
0.1,Lr,103
0.1,Fm,100
0.1,Es,99
0.1,Bk,97
0.1,Md,101
0.106,Gd,64
0.107,Dy,66
0.111,Tb,65
0.114,Ce,58
0.12,Ac,89
0.125,Pr,59
0.133,Sm,62
0.135,La,57
0.139,Eu,63
0.143,Er,68
0.15,Fr,87
0.158,Sc,21
0.162,Ho,67
0.164,Lu,71
0.165,Nd,60
0.168,Tm,69
0.172,Y,39
0.179,Pm,61
0.184,Ba,56
0.186,Ra,88
0.2,Po,84
0.219,Ti,22
0.227,Zr,40
0.23,Hf,72
0.23,Rf,104
0.243,Sb,51
0.274,B,5
0.276,U,92
0.307,V,23
0.349,Yb,70
0.353,Sr,38
0.353,Pb,82
0.359,Cs,55
0.406,Ga,31
0.461,Tl,81
0.47,Pa,91
0.479,Re,75
0.502,As,33
0.506,Tc,43
0.537,Nb,41
0.54,Th,90
0.575,Ta,73
0.58,Db,105
0.582,Rb,37
0.599,Ge,32
0.666,Sn,50
0.716,Pt,78
0.718,Pd,46
0.802,Fe,26
0.816,In,49
0.847,Li,3
0.876,Os,76
0.907,Ni,28
0.937,Cr,24
0.968,Cd,48
1,Co,27
1.024,K,19
1.16,Zn,30
1.17,Ru,44
1.29,C,6
1.38,Mo,42
1.41,Na,11
1.47,Ir,77
1.48,Si,14
1.5,Rh,45
1.56,Mg,12
1.74,W,74
2.01,Ca,20
2.01,Be,4
2.37,Al,13
3.17,Au,79
4.01,Cu,29
4.29,Ag,47
